Gene,Method,Simulation,Sequences,Codons,LRT p-value,cAIC,w1,p1,w2,p2,w3,p3,CV(omega),SRV1,SRV_p1,SRV2,SRV_p2,SRV3,SRV_p3,CV(alpha)_calculated,CV(alpha)_simulated,DH_Rate,TH_Rate,TH_Rate_SI,BUSTEDS-MH_num_ER_Sites,BUSTEDS-MH_ER_Sites,BUSTEDS_num_ER_Sites,BUSTEDS_ER_Sites
2552.replicate.5,BUSTEDS,null-2.0,38.0,5000.0,0.04968441605027579,183086.339344077,0.9743,0.596,0.9771,0.4011,11.4443,0.0029,1.1051931960424983,0.0981,0.0834,0.8132,0.4424,1.3328,1.3328,0.676662371399489,2.0,,,,,,0.0,
2552.replicate.5,BUSTEDS,null-2.3,38.0,5000.0,0.5,185187.9122294587,0.4027,0.1374,0.6844,0.0348,1.0642,0.8279,0.3779728262726259,0.118,0.0965,1.0036,0.7959,1.7645,1.7645,0.6993760874534088,2.3,,,,,,0.0,
2552.replicate.5,BUSTEDS-MH,null-2.0,38.0,5000.0,0.4328817746906808,183090.0467891987,0.5809,0.0762,0.9977,0.9015,2.5335,0.0223,0.6125673975427798,0.0956,0.0817,0.8062,0.4333,1.3255,1.3255,0.6790173024871161,2.0,0.005715563754754131,0.0,0.0,0.0,,,
2552.replicate.5,BUSTEDS-MH,null-2.3,38.0,5000.0,0.4633676387562759,185193.5863182183,0.9164,0.7479,0.9215,0.2026,1.7516,0.0495,0.3280572472044551,0.1055,0.0908,0.981,0.7674,1.6754,1.6754,0.6977032725118052,2.3,0.0,0.001667026456223871,0.0,0.0,,,
2552.replicate.6,BUSTEDS,null-2.0,38.0,5000.0,0.5,185300.1814142274,0.9928,1.0,0.9994,0.0,6.6381,0.0,0.9245329841847494,0.2935,0.1905,1.1078,0.7061,1.5651,1.5651,0.5318607543595976,2.0,,,,,,,
2552.replicate.6,BUSTEDS,null-2.3,38.0,5000.0,0.5,182323.6623320964,0.9151,0.0739,0.9394,0.1421,1.0,0.784,0.037520441695474444,0.0,0.0494,0.7959,0.592,1.4745,1.4745,0.7962429937030865,2.3,,,,,,,
2552.replicate.6,BUSTEDS-MH,null-2.0,38.0,5000.0,0.5,185303.1179650813,0.9519,0.0734,0.9968,0.9266,2.3825,0.0,0.4599611983539316,0.1577,0.0775,0.6018,0.2503,1.2454,1.2454,0.6681646575305561,2.0,0.001335384349778122,0.0,0.2291260587570476,,,,
2552.replicate.6,BUSTEDS-MH,null-2.3,38.0,5000.0,0.5,182329.6494688497,0.7349,0.0,0.9836,1.0,2.2612,0.0,0.5040373723415286,0.0,0.0493,0.7957,0.5918,1.4743,1.4743,0.7962726510910111,2.3,0.0,0.0,0.0,,,,
2552.replicate.7,BUSTEDS,null-2.0,38.0,5000.0,0.5,183870.9679463324,0.9533,0.1275,0.9969,0.7456,1.0,0.1269,0.021681418688960927,0.0454,0.0701,0.6204,0.2057,1.2003,1.2003,0.7579776515937982,2.0,,,,,,,
2552.replicate.7,BUSTEDS,null-2.3,38.0,5000.0,0.5,182566.3237097113,0.9943,1.0,0.9994,0.0,2.6421,0.0,0.5019075990219176,0.0,0.0364,0.7295,0.4303,1.2866,1.2866,0.7839220232189926,2.3,,,,,,,
2552.replicate.7,BUSTEDS-MH,null-2.0,38.0,5000.0,0.5,183877.5515636401,0.9802,0.4117,0.999,0.5883,1.0021,0.0,0.009736895508806968,0.1394,0.1206,1.0471,0.7275,1.4575,1.4575,0.6248831269853622,2.0,0.0,0.0,0.0,,,,
2552.replicate.7,BUSTEDS-MH,null-2.3,38.0,5000.0,0.5,182572.3129236148,0.1091,0.0078,1.0,0.9894,1.3311,0.0028,0.6344152661340795,0.0,0.0358,0.7209,0.4199,1.2809,1.2809,0.7857408004077833,2.3,0.0,0.0,0.0,0.0,,,
2552.replicate.8,BUSTEDS,null-2.0,38.0,5000.0,0.461952140593212,183467.3740205193,0.8572,0.5804,0.9447,0.1918,1.3741,0.2278,0.2133697481229622,0.0,0.0585,0.8647,0.6371,1.4756,1.4756,0.7760211571861676,2.0,,,,,,0.0,
2552.replicate.8,BUSTEDS,null-2.3,38.0,5000.0,0.5,183078.9509331104,0.9485,0.1848,0.9665,0.0519,1.0017,0.7633,0.02272493658787446,0.1273,0.1013,0.8391,0.453,1.3619,1.3619,0.6519625930996352,2.3,,,,,,0.0,
2552.replicate.8,BUSTEDS-MH,null-2.0,38.0,5000.0,0.477794923642556,183473.3677961975,0.5653,0.0133,0.9827,0.9806,3.4138,0.006,0.7594178283684668,0.0,0.0585,0.8645,0.637,1.4758,1.4758,0.7761074198309889,2.0,0.0,1.977709079706814e-05,0.0,0.0,,,
2552.replicate.8,BUSTEDS-MH,null-2.3,38.0,5000.0,0.5,183083.5323299248,0.5867,0.0,0.9907,1.0,1.0775,0.0,0.24166175013456806,0.1339,0.105,0.8564,0.4683,1.3709,1.3709,0.6446433563876696,2.3,0.0,0.002061005628213312,0.0,,,,
2552.replicate.9,BUSTEDS,null-2.0,38.0,5000.0,0.5,182188.7242841478,0.9485,0.3754,0.964,0.1581,1.0,0.4665,0.022220986005348626,0.0823,0.0668,0.8192,0.4546,1.2999,1.2999,0.6823898371772585,2.0,,,,,,,
2552.replicate.9,BUSTEDS,null-2.3,38.0,5000.0,0.2144813248272084,183466.0981745082,0.9423,0.4045,0.9776,0.5824,4.1395,0.0131,0.7421148245474997,0.0,0.03,0.6609,0.404,1.295,1.295,0.8109605894291054,2.3,,,,,,0.0,
2552.replicate.9,BUSTEDS-MH,null-2.0,38.0,5000.0,0.5,182194.6845263341,0.2328,0.0,0.9748,1.0,2.2979,0.0,0.7309601625767596,0.0296,0.0493,0.7209,0.3674,1.2578,1.2578,0.7509776906721045,2.0,0.0,0.0,0.0,,,,
2552.replicate.9,BUSTEDS-MH,null-2.3,38.0,5000.0,0.4151884173682024,183471.2964516188,0.0,0.0272,1.0,0.9491,2.2361,0.0238,0.8478526161084561,0.0,0.0297,0.6584,0.4,1.2917,1.2917,0.8112930137740169,2.3,0.002750959288464496,0.0,0.0,0.0,,,
2564.replicate.1,BUSTEDS,null-2.0,56.0,5000.0,0.5,338501.2777532637,0.9979,0.0,1.0,1.0,3.5296,0.0,0.647468200052696,0.2814,0.0,1.0,1.0,6.1016,6.1016,1.0528058244824363,2.0,,,,,,,
2564.replicate.1,BUSTEDS-MH,null-2.0,56.0,5000.0,0.5,338504.7099124398,0.858,0.0,1.0,1.0,6.1748,0.0,0.9238023762445248,0.9999,0.0,1.0,1.0,1.0163,1.0163,0.007666174691145757,2.0,0.0,0.0,0.1745988703676551,,,,
2564.replicate.10,BUSTEDS,null-2.0,56.0,5000.0,0.4202218294601495,337365.9971322636,0.7615,0.0946,0.843,0.1511,1.0744,0.7543,0.14842328630967874,0.9641,0.0,0.9706,0.0,1.0,1.0,0.015965962175885518,2.0,,,,,,0.0,
2564.replicate.10,BUSTEDS-MH,null-2.0,56.0,5000.0,0.4127416040578074,337371.9132553397,0.0,0.0031,0.9731,0.0,1.008,0.9969,0.7074358701139529,1.0,1.0,1.0005,0.0,1.0244,1.0244,0.011292521091481085,2.0,0.0,0.0006789008764762885,0.0,0.0,,,
2564.replicate.2,BUSTEDS,null-2.0,56.0,5000.0,0.3034955379944783,338826.5732106519,0.8807,0.2606,0.9768,0.173,1.088,0.5665,0.08627195027064379,1.0,1.0,3.3818,0.0,3.6985,3.6985,0.4471608984005769,2.0,,,,,,0.0,
